,head,relation,tail
0,comments,note,publication
1,ammunition,find,mr surachet
2,crash,remain under,investigation
3,canadian press,publish,canadian press
4,league,kick,sunday
5,ford,lead,"199,000"
6,kaida,say,december
7,report,publish,canadian press
8,economy,economy,pump prices
9,report,publish,canadian press
10,toyota,commit,2030
11,daiichi sankyo,be among,nikkei
12,league,coverage,sunday
13,toyota,read more,kenneth more
14,news release,state,foot
15,fans,receive,sunday
16,vehicles,make,u.s. sales
17,suvs,report,december
18,sanctions,have,driver
19,players-,visit,fire
20,fedex,receive,delivery vans
21,selling price,vary,10
22,business fed officials,say,recovery
23,business fed officials,say,recovery
24,chrysler,have stiff,competition
25,drivers,practice on,qualifying
26,notch marketing that,be,market growth process
27,business fed officials,say,teens
28,ticket presales,begin,sale
29,ford,retain,%
30,fj40,https://flic.kr/s/ahsmxgty7d,photos
31,maine forecast snow,face,friday
32,business fed officials,say,teens
33,story,be,dow jones
34,number,remain dormant,season
35,n ewsletters,get,click
36,ncaa,have,hint
37,company,surge by more,vehicle space
38,team,make,trust
39,mitchell,predict,man
40,u.s.,do by,skaters
41,editor,read more,race
42,email print gamecocks,vs,carrier allegiant ez2.shop
43,makes,be,2021
44,ice dance you,service,peacock
45,dmitry sotnikov,claim,anton shibalov third
46,zevs,be likely,region
47,request,add,publication time
48,tips,submit to,403
49,jamie l. lareau,distribute by,tribune content agency
50,production,distribute by,tribune content agency
51,teams,slate,wednesday
52,takumi,face,mountain passes
53,suvs,report,december
54,andy palmer,tell,nissan motor bloomberg
55,united states,win,shebelieves cup tournaments
56,company,ramp,home germany
57,rep member harps,give,constituents
58,helicopter,assure,rain
59,secretary,test positive,covid
60,body,hand,family members
61,hearing,schedule for,jan.
62,people,use facial,key
63,sales,see,2020
64,rubber contract,finish,kg
65,mr. shah,follow,+44 us
66,mustang,be,sister site
67,chrysler,have stiff,competition
68,gadkari,ani,car
69,prices,be,.
70,united states,soccer,shebelieves cup tournaments
71,us,let,comment
72,gazoo racing hilux,+9h,43min 53sec
73,emirati,have,place
74,de villiers,be,2022
75,perth trial,close,team
76,francisco lopez contardo,be,prototype category
77,registration,understand,user agreement
78,registration,understand,user agreement
79,miscarriage,say,justice
80,united states,soccer,shebelieves cup tournaments
81,prosecutors,speak,jeddah
82,united states,soccer,shebelieves cup tournaments
83,material,publish,shebelieves cup tournaments
84,women,soccer,host england
85,lategan,click,dakar
86,dick,say,santa markets
87,cars,come,capital
88,forza horizon,be available,pc
89,standards,finish,kg
90,united states,soccer,shebelieves cup tournaments
91,volkswagen,say,car
92,tuesday police,respond to,charges
93,malampy,travel from,oklahoma city
94,us sales,total,2.11 million
95,toyota,commit,himani sarkar
96,encounter,play,cup group play
97,stella that,be,wheels
98,evs,signal,future
99,united states,win,shebelieves cup tournaments
100,source,read more,automotive news more
101,highlights,continue,speed
102,online athens,view original,county georgia-301454787.html
103,companies,see,u.s. auto sales
104,volkswagen,say,car
105,uswnt,open,p.m. et
106,market,report,feb.
107,judge harmony letizia,buy,jan.
108,coronavirus,read more,census
109,tuesday police,respond to,charges
110,automakers,have,2023
111,kings day,read,17 pesos
112,u.s. soccer,expect,days
113,ads,begin on,wednesday
114,online athens,view original,county georgia-301454787.html
115,stock,be,paragraph
116,earnings releases,unveil on,operator
117,ford,tell,lightning
118,system,take,account
119,term,handing,us
120,vehicle sales,be,2019
121,online athens,view original,capital banks
122,rst first edition,follow in,"105,000"
123,kidnappings,scourge on,sa
124,latestly staff,modify,content body
125,online athens,view original,county georgia-301454787.html
126,rival ford,lightning,mustang mach e
127,activity,read,business insider
128,buyers,gain,f-150
129,gladiator,haul,pounds
130,briton sam sunderland,lead,austria
131,gm,say,december
132,texas he,highlight,longview
133,football ferns,play,tokyo olympics
134,office,tell,justice
135,half,say,first
136,earnings growth rate,project at,%
137,message,be,car
138,titan,rock,"36,950"
139,competition,think,step
140,suvs,report,december
141,laws,begin,wall
142,briton sam sunderland,lead,austria
143,dodge challenger,be,north america
144,state patrol,assist by,jones county office
145,toyota,continue,market
146,activity,say,past
147,cars,tune,autocar india
148,pm security lapse,trigger wild,leaders
149,buyers,gain,sriraj kalluvila
150,reuters,report,15 million
151,volkswagen,davis,car
152,economist elaine buckberg,say,semiconductor shortage
153,message,be,automobile
154,buyers,gain,f-150
155,city access countries,commit to,years
156,jm family,interact with,facebook
157,buyers,gain,sriraj kalluvila
158,buyers,gain,f-150
159,francisco lopez contardo,be,christian radnedge
160,briton sam sunderland,lead,austria
161,police administration,interdict,inspector william tawiah
162,jm family,interact with,facebook
163,jm family,interact with,facebook
164,prudence,be,cybertruck
165,buyers,report by,sriraj kalluvila
166,aluminium premiums,report by,andrew heavens
167,toyota,maintain,automaker
168,chip shortage,keep,crown
169,freeze,emphasize,2022
170,rbc capital markets,pt,166
171,francisco lopez contardo,report by,christian radnedge
172,buyers,read,f-150
173,pickup trucks,have,resurgence
174,insurance details,be,benefit
175,volkswagen,say,car
176,agency motorsport images,read more,photography coverage
177,headline changes,include,powertrains
178,market,be,disappointment
179,efforts,pave,culture
180,story,edit by,feed
181,suvs,report,december
182,pent,support,vehicle supply
183,francisco lopez contardo,be,prototype category
184,propshaft,have,stage
185,expectations,exceed by,percent
186,ford,report,q4
187,francisco lopez contardo,be,prototype category
188,home ministry statement,say,pm
189,dates,provide,boksburg court
190,bell,join,race season
191,briton sam sunderland,lead,austria
192,francisco lopez contardo,be,christian radnedge
193,stock,look attractive,rise
194,francisco lopez contardo,be,prototype category
195,bank,see,comments
196,volkswagen tiguan allspace,discontinue in,seater version
197,product roadmap,include,relationship development
198,situation,say,2022
199,terranova,be,team
200,tesla,be worth,3 valuation
201,aghedo,say,best
202,lesufi,say,incident
203,fusion that,be,energy
204,toyota,commit,2030
205,racing hilux,+3hr,26min more
206,hertz,be,gm
207,home ministry statement,say,pm
208,toyota,commit,2030
209,times louisiana,advocate,editorial board
210,sales,show,registrations
211,toyota,sell,2020
212,registration,understand,user agreement
213,aluminium premiums,predict japanese,250
214,one,view,musa rio tjahjono
215,nasdaq composite,finish,comments
216,latest stocks,mention,marketsmith
217,ford,expect,wednesday
218,immigrants,engage,benefits
219,year courtesy ota,update,charisma
220,bitcoin,edge,month
221,rivian,lose,twitter poll
222,engine,stay,auto news
223,aluminium premiums,report by,andrew heavens
224,fire,gutte,buildings
225,kimbell,be,installations
226,nowitzki,be eligible,2019
227,bitcoin,edge,month
228,aluminium premiums,predict,andrew heavens
229,toyota,stay abreast,news email updates
230,thoughts,be,servicing
231,sales,plummet,1.47 million
232,bitcoin,edge,month
233,toyota,commit,2030
234,everyone,be upon,way
235,van wyk,add,10111
236,mechanics,be,pitstops
237,market research reports,provide,report visit
238,carmakers,increase,exchange rate fluctuations
239,republicans,call,mailing list
240,detroit auto maker,go,gear
241,stock,be,years
242,toyota,commit,2030
243,volkswagen,say,car
244,kyle busch,seem,time
245,consumers,control basic,performance
246,market,photo,market demand dwindles
247,opinions,be,investorplace.com publishing guidelines
248,opinions,be,investorplace.com publishing guidelines
249,fire,gutte,buildings
250,press review,include,yum meat
251,stock,be,bears billions
252,boom,send,chicken menu item
253,masondo,say,boksburg
254,beyond it,reveal,lineup
255,toyota,commit,2030
256,naveen soni,take,lexus india president
257,stock,be,bears billions
258,copyright,reserve,coronavirus pandemic
259,u.s. sales,rise,side
260,stock,be,bears billions
261,volkswagen,say,car
262,dealers,pay,rebates
263,apple inc.,expect,years
264,machine,monitor,smartphone
265,ph.d. we,view original,brandessence market research-301454329.html
266,toyota,be,volkswagen
267,banality,think,auto industry
268,volkswagen,say,car
269,boom,send,chicken menu item
270,tick tock,go,team
271,car prices,get high,trade ins
272,mr. vishal sawant,have,sales london
273,kaida,say,december
274,us sales,rise,side
275,family,recover,river bank
276,jeep cherokee vehicle,die,harare
277,miscarriage,say,justice
278,share registry limited,distribute by,january
279,kidnappings,suggest most,2020
280,damian j. troise,contribute,1.1296
281,company,break,2021
282,suspects,appear at,course
283,automobile industry,need,materials
284,lesufi,-sanews.gov.za,incident
285,lady,write,contact
286,gang,link to,32 000
