,amd,nvidia,qualcomm,samsung,sony,lucid,tesla,toyota,disney,netflix
amd,1.0,0.453,0.335,0.319,0.193,0.311,0.135,0.137,0.138,0.161
nvidia,0.453,1.0,0.317,0.256,0.172,0.228,0.28,0.151,0.142,0.221
qualcomm,0.335,0.317,1.0,0.337,0.263,0.223,0.253,0.222,0.155,0.302
samsung,0.319,0.256,0.337,1.0,0.327,0.27,0.2,0.177,0.203,0.205
sony,0.193,0.172,0.263,0.327,1.0,0.222,0.246,0.286,0.23,0.302
lucid,0.311,0.228,0.223,0.27,0.222,1.0,0.418,0.319,0.277,0.229
tesla,0.135,0.28,0.253,0.2,0.246,0.418,1.0,0.457,0.224,0.223
toyota,0.137,0.151,0.222,0.177,0.286,0.319,0.457,1.0,0.264,0.174
disney,0.138,0.142,0.155,0.203,0.23,0.277,0.224,0.264,1.0,0.42
netflix,0.161,0.221,0.302,0.205,0.302,0.229,0.223,0.174,0.42,1.0
