,amd,nvidia,qualcomm,samsung,sony,lucid,tesla,toyota,disney,netflix
amd,1.0,0.569,0.399,0.511,0.217,0.212,0.292,0.131,0.235,0.212
nvidia,0.569,1.0,0.432,0.433,0.178,0.256,0.318,0.22,0.182,0.312
qualcomm,0.399,0.432,1.0,0.516,0.248,0.291,0.309,0.252,0.167,0.214
samsung,0.511,0.433,0.516,1.0,0.392,0.288,0.254,0.237,0.265,0.101
sony,0.217,0.178,0.248,0.392,1.0,0.267,0.333,0.382,0.242,0.227
lucid,0.212,0.256,0.291,0.288,0.267,1.0,0.426,0.588,0.128,0.189
tesla,0.292,0.318,0.309,0.254,0.333,0.426,1.0,0.511,0.153,0.226
toyota,0.131,0.22,0.252,0.237,0.382,0.588,0.511,1.0,0.201,0.18
disney,0.235,0.182,0.167,0.265,0.242,0.128,0.153,0.201,1.0,0.446
netflix,0.212,0.312,0.214,0.101,0.227,0.189,0.226,0.18,0.446,1.0
