,amd,nvidia,qualcomm,samsung,sony,lucid,tesla,toyota,disney,netflix
amd,0.0,3.109,3.445,3.381,3.638,3.984,3.897,3.965,3.91,3.884
nvidia,3.109,0.0,3.443,3.48,3.627,4.168,3.504,3.881,3.845,3.691
qualcomm,3.445,3.443,0.0,3.304,3.444,4.197,3.589,3.733,3.836,3.513
samsung,3.381,3.48,3.304,0.0,3.177,3.983,3.595,3.723,3.609,3.633
sony,3.638,3.627,3.444,3.177,0.0,4.073,3.451,3.432,3.507,3.369
lucid,3.984,4.168,4.197,3.983,4.073,0.0,3.633,3.968,4.044,4.194
tesla,3.897,3.504,3.589,3.595,3.451,3.633,0.0,3.095,3.646,3.676
toyota,3.965,3.881,3.733,3.723,3.432,3.968,3.095,0.0,3.62,3.863
disney,3.91,3.845,3.836,3.609,3.507,4.044,3.646,3.62,0.0,3.192
netflix,3.884,3.691,3.513,3.633,3.369,4.194,3.676,3.863,3.192,0.0
