,amd,nvidia,qualcomm,samsung,sony,lucid,tesla,toyota,disney,netflix
amd,0.0,3.47,3.729,3.295,3.949,4.434,3.842,4.264,3.925,4.13
nvidia,3.47,0.0,3.898,3.83,4.386,4.592,4.091,4.371,4.398,4.171
qualcomm,3.729,3.898,0.0,3.181,3.747,4.106,3.679,3.841,3.964,4.006
samsung,3.295,3.83,3.181,0.0,3.272,4.026,3.712,3.771,3.617,4.173
sony,3.949,4.386,3.747,3.272,0.0,3.889,3.285,3.178,3.422,3.633
lucid,4.434,4.592,4.106,4.026,3.889,0.0,3.526,3.016,4.252,4.252
tesla,3.842,4.091,3.679,3.712,3.285,3.526,0.0,2.906,3.728,3.734
toyota,4.264,4.371,3.841,3.771,3.178,3.016,2.906,0.0,3.639,3.861
disney,3.925,4.398,3.964,3.617,3.422,4.252,3.728,3.639,0.0,3.102
netflix,4.13,4.171,4.006,4.173,3.633,4.252,3.734,3.861,3.102,0.0
